time,open,high,low,close,Volume,Plot,Plot.1
2024-11-07 21:00:00,197.12,197.78,196.18,196.22,105461.435,188.1593282986404,195.92667900979777
2024-11-07 22:00:00,196.21,196.84,194.5,195.25,112160.881,188.45586558679648,195.8388585889
2024-11-07 23:00:00,195.25,196.54,194.13,196.35,130379.012,188.67157669262457,196.074634236089
2024-11-08 00:00:00,196.36,201.0,196.35,198.9,549125.374,187.75647612009385,198.4496490613579
2024-11-08 01:00:00,198.9,200.33,197.67,198.29,300030.903,188.27902135398207,198.45132440470417
2024-11-08 02:00:00,198.29,198.5,195.64,195.94,166542.187,188.15468441680352,197.798964062756
2024-11-08 03:00:00,195.95,198.58,195.74,198.15,92975.433,189.19867344830772,198.39978487789463
2024-11-08 04:00:00,198.16,198.93,197.57,197.77,117429.342,189.62855361733295,198.37883152486756
2024-11-08 05:00:00,197.78,200.18,197.72,199.2,160561.698,190.6049366957577,198.95087456334448
2024-11-08 06:00:00,199.19,199.83,198.0,198.79,121873.167,191.0117625694455,198.9486381652429
2024-11-08 07:00:00,198.79,200.8,197.39,200.38,231478.778,192.35556068819065,200.0902124360581
2024-11-08 08:00:00,200.38,200.5,198.09,199.26,136804.665,192.14693236345624,199.47951088295417
2024-11-08 09:00:00,199.26,202.86,198.9,202.29,311170.501,191.80424805100785,201.87813062332975
2024-11-08 10:00:00,202.28,204.19,201.0,203.57,236364.242,193.21645390365825,203.16605067463223
2024-11-08 11:00:00,203.57,205.0,202.96,203.06,262208.319,193.2343776641108,202.68319572014883
2024-11-08 12:00:00,203.05,204.1,202.34,202.66,137078.287,194.21511457973384,203.2260347624781
2024-11-08 13:00:00,202.65,205.0,202.16,204.57,225891.794,195.13461055116812,204.21390693771423
2024-11-08 14:00:00,204.56,204.97,199.41,199.61,369295.916,194.2806790607173,202.85828763058132
2024-11-08 15:00:00,199.6,201.99,198.41,200.99,390579.528,196.4383967151325,204.66854201299665
2024-11-08 16:00:00,200.98,201.55,196.96,197.07,282949.382,195.3983227735859,203.16742628017843
2024-11-08 17:00:00,197.07,199.56,196.21,199.14,210150.49,196.87353083524425,204.30251672527564
2024-11-08 18:00:00,199.14,202.1,198.52,199.62,239932.736,198.25410218995816,205.35443136756345
2024-11-08 19:00:00,199.62,201.59,199.53,199.55,185153.948,198.71455251224157,205.46948332000736
2024-11-08 20:00:00,199.54,200.19,197.66,198.47,149376.815,197.95609805660237,204.343361113253
2024-11-08 21:00:00,198.47,199.15,197.1,198.83,95041.332,197.7982408666321,203.85641517739757
2024-11-08 22:00:00,198.83,199.77,198.27,198.91,90482.657,197.71717352123252,203.4656786910048
2024-11-08 23:00:00,198.92,199.97,198.18,199.85,66746.694,198.22944917304187,203.70070164625895
2024-11-09 00:00:00,199.86,200.12,198.63,199.65,81778.925,198.17521731168628,203.3679021398285
2024-11-09 01:00:00,199.65,200.07,198.7,199.37,84959.83,197.9587424616538,202.8831786639164
2024-11-09 02:00:00,199.36,199.85,197.21,199.55,113263.107,198.34186167790617,203.02621683763655
2024-11-09 03:00:00,199.54,200.26,198.2,198.97,104329.404,198.15247380117208,202.5957384842258
2024-11-09 04:00:00,198.96,200.11,198.96,199.62,76754.175,198.3013029706336,202.52320807831967
2024-11-09 05:00:00,199.63,201.82,199.46,200.94,174211.631,198.71237623838908,202.72936231516897
2024-11-09 06:00:00,200.95,202.41,200.4,200.81,129517.259,198.43100161479109,202.43970871812024
2024-11-09 07:00:00,200.81,200.91,199.64,200.26,73739.073,198.26317612319036,202.26849281254772
2024-11-09 08:00:00,200.27,202.56,199.91,201.43,133926.963,198.16825090751036,202.17164991574288
2024-11-09 09:00:00,201.43,202.62,201.37,201.77,94346.336,198.02796861803753,202.02853364062415
2024-11-09 10:00:00,201.77,203.45,201.38,203.03,112882.311,196.93437318840057,202.82608991982468
2024-11-09 11:00:00,203.02,203.14,201.4,202.18,94471.863,197.18185976282868,202.78183616340183
2024-11-09 12:00:00,202.17,202.56,200.0,200.01,130706.109,196.88707013128035,202.19532540207635
2024-11-09 13:00:00,200.01,201.0,199.38,199.59,90055.678,197.41419722434773,202.46713517259911
2024-11-09 14:00:00,199.59,199.6,197.46,198.21,195079.677,197.34651247834375,202.14208907466113
2024-11-09 15:00:00,198.22,198.72,197.35,198.4,132322.8,197.39321524374873,201.94732450237672
2024-11-09 16:00:00,198.39,198.71,196.54,196.75,153275.103,196.83919972281308,201.2422824553425
2024-11-09 17:00:00,196.75,198.1,194.86,198.01,215382.966,197.33251730721196,201.5235853984203
2024-11-09 18:00:00,198.01,198.95,197.77,198.81,89401.835,197.73540436598404,201.73005899964028
2024-11-09 19:00:00,198.82,199.59,197.47,197.75,105125.128,197.27825791997344,201.2636772718921
2024-11-09 20:00:00,197.75,198.65,197.4,198.51,59727.835,197.47002230057493,201.45931568038455
2024-11-09 21:00:00,198.51,199.41,198.03,198.33,61897.699,197.8081423256098,201.80426641299587
2024-11-09 22:00:00,198.33,200.09,198.14,200.05,103101.68,197.99708232937277,201.99702338653185
2024-11-09 23:00:00,200.05,201.99,199.55,199.89,223047.609,198.4069656615533,202.41518719006953
2024-11-10 00:00:00,199.89,201.8,198.68,200.49,181566.745,198.91902473374904,202.9375908899864
2024-11-10 01:00:00,200.49,200.71,198.75,200.1,135341.721,198.38780932212083,202.39564385388084
2024-11-10 02:00:00,200.09,204.91,200.0,202.39,445292.105,199.2558216955056,203.2811918307683
2024-11-10 03:00:00,202.4,203.31,201.41,201.42,171212.41,199.670381853084,203.70412694102512
2024-11-10 04:00:00,201.41,205.45,200.92,204.96,297841.413,204.46408100143037,208.59466849640876
2024-11-10 05:00:00,204.95,209.0,204.33,206.87,632600.01,204.23952347594263,208.3655744552546
2024-11-10 06:00:00,206.86,207.32,204.74,205.72,301559.248,203.63737351501183,207.7512598486485
2024-11-10 07:00:00,205.72,206.78,205.01,205.06,300724.761,203.28970045188396,207.3965630872756
2024-11-10 08:00:00,205.06,205.58,204.02,205.31,162964.474,203.949942054441,208.0701429040257
2024-11-10 09:00:00,205.31,206.26,204.7,205.31,197575.902,204.46598113327855,208.59660701475897
