time,open,high,low,close,Plot,Plot,Volume
1716706800,3759.96,3795.06,3759,3786.02,3659.408094754614,3868.3520270270997,17391.6824
1716710400,3786.01,3816.57,3777.22,3794.46,3653.615576011805,3860.08369231502,17766.0895
1716714000,3794.45,3816.79,3788.85,3800,3653.791227567804,3858.1467483305537,19029.635
1716717600,3800,3811,3790.52,3804.61,3664.252733584208,3867.0872347674886,8676.8471
1716721200,3804.61,3822.4,3803.28,3813.79,3663.4730014202128,3864.180876317599,18358.4356
1716724800,3813.79,3813.8,3800,3803.31,3659.486590058744,3857.916813542019,11883.8506
1716728400,3803.31,3811.45,3792.14,3808.9,3671.1775432824884,3868.1976342460534,9264.866
1716732000,3808.89,3865.59,3803.3,3862.4,3684.992418164289,3880.723772067776,28227.1016
1716735600,3862.4,3875.8,3825.6,3833.05,3667.0975184978092,3859.879362989776,37197.5086
1716739200,3833.06,3884.2,3831.26,3863.87,3672.5088111034715,3863.594240315591,27384.882
1716742800,3863.87,3865.4,3841.83,3844.57,3677.593409037551,3866.980626323974,7645.2479
1716746400,3844.58,3850.9,3832.2,3847.7,3685.950225537917,3873.8212485169747,7237.1903
1716750000,3847.7,3878.87,3847.69,3878.86,3699.7714546321063,3886.4136185585085,8611.1058
1716753600,3878.86,3879.63,3857.91,3860.74,3697.677553166974,3882.302152099004,5550.3338
1716757200,3860.74,3860.75,3823.11,3852.54,3694.0041828936482,3876.5553852076746,9857.7588
1716760800,3852.55,3854.78,3835.67,3838.06,3702.9945946876287,3884.1153790878943,7255.9611
1716764400,3838.07,3840.94,3817.39,3826.47,3705.260858171438,3884.6363056412742,9263.0647
1716768000,3826.47,3857.5,3823.37,3843,3728.173191839545,3906.8097622317464,9421.9553
1716771600,3843,3889,3837.24,3883.73,3748.9286675948174,3926.720837432703,11809.2563
1716775200,3883.72,3939.59,3878.62,3914.49,3759.3793074635905,3935.8423752285685,34844.4837
1716778800,3914.49,3938.05,3905.75,3919.58,3755.088325017053,3929.54641525399,31067.7428
1716782400,3919.59,3935,3908,3919.43,3757.4754217745735,3930.2585877269585,11177.533
1716786000,3919.43,3923.39,3888.71,3904.68,3751.5565801894063,3922.3032071695916,12750.5246
1716789600,3904.67,3917.26,3891,3894.13,3751.823176511619,3920.835887791968,9425.9842
1716793200,3894.14,3920.75,3892.39,3914.01,3772.620582960272,3940.832794816533,8187.543
1716796800,3914.01,3954.35,3905.68,3911.49,3778.6853155873523,3945.445935956342,24111.9282
